Time (s),Temperature (C)
48.55,-2.01618887792512
48.6,-2.01623290817679
48.65,-2.01627700931033
48.7,-2.01632118186598
48.75,-2.01636542638875
48.8,-2.01640974341427
48.85,-2.01645413348518
48.9,-2.01649859713183
48.95,-2.01654313488655
49,-2.01658774728156
49.05,-2.01663243484052
49.1,-2.01667719809154
49.15,-2.01676691105638
49.2,-2.01690201239649
49.25,-2.01708320381061
49.3,-2.01731146667078
49.35,-2.01763435781606
49.4,-2.01810263258523
49.45,-2.01886926748057
49.5,-2.21167862230556
49.55,-2.33094455807418
49.6,-2.40002941770064
49.65,-2.43959148875007
49.7,-2.46226938309997
49.75,-2.4754778317955
49.8,-2.48330317307273
49.85,-2.48827245016986
49.9,-2.49146084194933
49.95,-2.49385002855871
50,-2.49572205292969
50.05,-2.49720860467443
50.1,-2.49870690235059
50.15,-2.49995604640361
50.2,-2.50129030799854
50.25,-2.50249310539192
50.3,-2.50377206270861
50.35,-2.50497896596011
50.4,-2.5062241624027
50.45,-2.50744824814041
50.5,-2.50869694016552
50.55,-2.50988822053068
50.6,-2.51117521589265
50.65,-2.51237936352135
50.7,-2.51360770337539
50.75,-2.51488777714451
50.8,-2.51610766113134
50.85,-2.51733293441453
50.9,-2.51863208989442
50.95,-2.51983076089755
51,-2.52114066956551
51.05,-2.52232464961719
51.1,-2.5236544860021
51.15,-2.52486528676428
51.2,-2.52615842798105
51.25,-2.52739777340298
51.3,-2.52870716322565
51.35,-2.52992436857153
51.4,-2.53123415906845
51.45,-2.5325188718121
51.5,-2.53375785710415
51.55,-2.53509127810315
51.6,-2.53630698326276
51.65,-2.53767235578005
51.7,-2.5388960815427
51.75,-2.54023918724386
51.8,-2.54150133446768
51.85,-2.54281104382369
51.9,-2.54408787701408
51.95,-2.54545986961779
52,-2.54667582351749
52.05,-2.54803794387988
52.1,-2.54933936281498
52.15,-2.5506622912917
52.2,-2.55197087496879
52.25,-2.55327064971493
52.3,-2.55464009543357
52.35,-2.55592256888144
52.4,-2.55728493585127
52.45,-2.55858790921559
52.5,-2.55996170352978
52.55,-2.5612563527709
52.6,-2.56261149765498
52.65,-2.56395983146336
52.7,-2.56532513539122
52.75,-2.56664658640614
52.8,-2.56801168950398
52.85,-2.56935358951802
52.9,-2.57074789039802
52.95,-2.57208317300336
53,-2.57344522240828
53.05,-2.57483876502715
53.1,-2.57618627568485
53.15,-2.57758495533335
53.2,-2.57891571523953
53.25,-2.58037917968966
